iteration 10:	success	average 
function 1: 	10	8.20415e-029
function 2: 	10	20797.5
function 3: 	10	2.91372e+009
function 4: 	10	4425.09
function 5: 	10	4.54652e-029
function 6: 	10	6.37479
function 7: 	10	78.6238
function 8: 	10	20.2927
function 9: 	10	5.03093
function 10: 	10	0.700613
function 11: 	10	21.3915
function 12: 	10	29.9482
function 13: 	10	40.7117
function 14: 	10	506.621
function 15: 	10	862.276
function 16: 	10	0.409913
function 17: 	10	21.3097
function 18: 	10	25.4868
function 19: 	10	0.931611
function 20: 	10	3.44821
function 21: 	10	380.174
function 22: 	10	715.283
function 23: 	10	1398.3
function 24: 	10	221.683
function 25: 	10	218.319
function 26: 	10	196.165
function 27: 	10	539.63
function 28: 	10	386.163
